년,지역,면적 (ha),10a당 생산량 (kg),생산량 (톤),평균기온(℃),최고기온 평균(℃),최저기온 평균(℃),강수량(mm),합계일조시간(hr),합계전천일사량(MJ/㎡),평균상대습도(%),최소상대습도(%),평균풍속(m/s),최대풍속(m/s),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),sp평균기온(℃),sp최고기온 평균(℃),sp최저기온 평균(℃),sp강수량(mm),su평균기온(℃),su최고기온 평균(℃),su최저기온 평균(℃),su강수량(mm),fa평균기온(℃),fa최고기온 평균(℃),fa최저기온 평균(℃),fa강수량(mm)
1985,대구광역시,483,1490,7197,19.6,24.7,15.1,171.8,194.8,459.3,73.4,40.7,3.0,11.2,1005.9,1013.0,1024.5,1000.8,10.3,16.1,5.0,71.2,22.3,27.5,17.7,153.3,24.8,29.2,21.2,300.2
1985,대전광역시,0,0,0,18.7,24.2,14.0,198.3,203.7,481.4,72.4,23.0,1.6,8.6,1003.6,1012.7,1024.0,1000.7,8.6,15.1,2.9,63.6,22.1,27.3,17.4,196.5,23.8,28.5,19.8,335.6
1985,부산광역시,0,0,0,19.2,23.0,16.2,254.9,207.8,488.6,74.7,35.6,3.6,13.9,1004.4,1012.7,1023.6,1000.8,10.4,14.8,6.9,117.7,21.0,24.5,17.9,348.8,25.4,29.0,22.8,251.0
1985,서울특별시,30,327,98,18.3,23.1,14.4,169.3,182.6,453.9,75.3,30.7,2.4,9.8,1002.8,1013.0,1024.0,1000.8,8.0,13.6,3.4,63.4,21.8,26.7,17.8,149.3,23.2,27.2,20.2,305.3
1985,인천광역시,5,580,29,17.4,22.0,13.4,281.3,228.5,408.0,78.0,40.1,2.8,12.2,1011.5,1012.6,1023.9,999.9,7.0,12.1,2.3,136.5,20.8,25.4,16.7,190.6,22.8,26.8,19.5,562.2
1985,전라남도,544,1425,7752,18.8,23.3,15.0,1629.5,233.5,527.2,83.0,42.6,2.5,10.6,1011.7,1013.4,1024.0,1002.1,9.2,14.6,4.4,688.4,21.1,25.3,17.6,2286.7,24.9,29.0,21.5,1584.8
1985,전라북도,1407,869,12227,18.3,24.0,13.6,1167.2,256.1,465.4,86.0,40.4,1.6,8.4,1013.4,1015.2,1024.1,1000.5,8.2,14.7,2.4,466.7,21.5,27.0,17.0,1238.7,23.8,28.8,19.8,1760.4
1985,제주도,0,0,0,20.0,23.3,16.7,982.6,195.8,494.0,80.9,42.6,3.2,13.3,1012.7,1012.3,1022.5,999.8,11.2,15.0,7.4,568.2,22.0,25.0,18.9,1438.3,25.8,29.0,22.8,713.6
1985,충청남도,3665,1293,47388,18.1,23.5,13.3,823.5,268.9,504.2,80.1,39.7,1.6,8.4,1014.9,1012.9,1024.0,1000.4,7.6,14.0,1.6,365.8,21.5,26.7,16.9,777.3,23.4,28.2,19.5,1350.5
1985,충청북도,4567,1310,59828,17.8,23.6,12.7,826.6,222.4,438.2,78.1,32.4,1.3,7.1,1005.9,1013.2,1024.8,1000.9,7.6,14.5,1.4,301.7,21.2,27.0,16.2,811.9,22.8,27.8,18.9,1373.5
1986,강원도,670,1072,7182,15.5,21.2,10.7,1055.4,237.2,513.5,80.6,38.1,1.8,9.2,1012.4,1015.6,1026.5,1000.0,6.7,13.3,0.4,321.8,18.6,23.8,14.0,1120.4,19.8,25.0,15.9,1691.6
1986,경기도,2107,1186,24989,17.0,23.2,11.9,428.0,241.4,467.0,75.3,30.1,1.2,7.4,1007.8,1017.5,1020.4,996.7,7.6,15.0,1.2,115.5,20.4,26.0,15.7,467.1,21.3,27.2,17.0,682.0
1986,경상남도,1194,1105,13194,18.3,23.7,13.6,1478.8,239.8,504.8,79.7,41.9,1.5,9.3,1009.9,1012.5,1021.5,998.2,10.0,16.6,4.0,623.2,20.8,25.7,16.6,1991.9,22.8,28.0,18.6,1564.6
1986,경상북도,22212,1595,354281,17.0,22.4,12.3,1058.1,251.3,489.0,79.1,37.4,2.1,10.8,1012.0,1013.8,1022.3,998.8,8.6,15.0,2.6,331.9,19.7,24.6,15.3,1412.9,21.5,26.6,17.4,1252.0
1986,대구광역시,505,1498,7565,18.8,24.5,14.1,121.2,193.7,480.9,69.9,31.4,3.0,12.2,1004.4,1011.5,1021.2,997.3,10.6,17.2,5.0,43.2,21.4,26.8,16.9,153.4,23.0,28.4,18.8,150.9
1986,부산광역시,0,0,0,18.4,22.7,15.2,145.9,205.6,494.3,72.9,33.1,3.4,15.0,1003.2,1011.5,1020.5,997.3,10.8,15.8,7.0,70.2,20.1,23.9,17.1,237.0,23.6,27.9,20.5,84.8
1986,서울특별시,4,1862,74,17.7,22.4,13.7,153.8,194.6,477.7,74.1,34.0,2.5,9.2,1001.3,1011.5,1020.4,997.3,8.4,14.0,3.8,32.4,20.8,25.3,17.0,180.1,22.2,26.5,18.5,235.6
1986,인천광역시,0,0,0,16.8,21.4,12.6,302.2,249.9,349.5,78.0,34.0,2.9,11.8,1010.0,1013.2,1019.8,994.3,7.5,12.7,2.4,38.0,19.8,24.1,15.9,401.8,21.6,26.0,17.9,417.0
1986,전라남도,427,1437,6136,18.0,22.8,14.0,1142.1,243.3,523.7,80.1,37.4,2.3,11.3,1010.7,1013.3,1020.9,997.7,9.7,15.4,4.8,342.4,20.3,24.6,16.8,1498.1,22.9,27.4,19.1,1407.9
1986,전라북도,1166,1068,12453,17.5,23.2,12.8,931.7,256.3,462.2,85.6,37.1,1.7,8.8,1012.3,1014.1,1020.5,996.5,8.3,15.1,2.6,301.4,20.6,25.7,16.2,1249.0,22.1,27.4,17.8,1086.1
1986,제주도,0,0,0,19.0,22.7,15.5,664.3,202.8,502.1,79.3,39.6,2.8,11.8,1011.8,1013.3,1019.8,995.9,11.3,15.2,7.3,305.0,21.0,24.5,17.6,837.7,23.9,27.4,20.5,763.6
1986,충청남도,3866,1367,52848,17.1,22.9,12.1,765.5,288.1,528.2,83.3,39.7,1.6,8.8,1013.4,1016.5,1019.9,996.4,7.8,14.6,1.6,193.2,20.4,25.5,15.8,951.6,21.6,27.2,17.1,1058.8
1986,충청북도,4292,1375,59015,17.0,23.0,11.7,675.3,228.2,500.3,78.9,33.7,1.6,7.5,1004.6,1011.9,1021.4,997.5,7.8,15.1,1.1,164.6,20.3,25.6,15.5,931.4,21.1,26.8,16.6,801.7
1987,강원도,564,826,4657,15.8,21.4,10.9,1352.0,257.3,517.0,78.3,37.7,2.2,11.5,1012.5,1013.2,1023.2,996.2,6.4,12.4,0.8,376.3,19.5,25.1,14.4,1640.2,19.8,24.8,15.8,1895.6
1987,경기도,2238,1203,26912,16.9,23.0,11.9,612.0,231.8,420.6,75.9,30.4,1.3,8.2,1007.9,1015.7,1022.0,995.9,7.0,13.6,1.0,151.1,20.6,26.6,15.5,767.2,21.4,27.2,17.2,840.1
1987,경상남도,898,2001,17969,18.1,23.5,13.5,1736.1,219.8,492.0,81.1,39.9,1.7,11.3,1011.3,1013.5,1022.9,996.0,9.6,15.8,3.9,764.0,21.0,26.2,16.5,2280.1,22.3,27.2,18.6,1892.3
1987,경상북도,25430,1464,372210,17.2,22.8,12.3,1304.6,255.2,490.3,81.7,43.6,2.3,12.6,1012.1,1013.1,1022.9,996.7,8.4,14.4,2.6,453.3,20.6,26.0,15.3,1610.0,21.2,26.2,17.4,1697.8
1987,광주광역시,0,0,0,18.3,23.5,14.1,186.2,182.5,456.9,76.1,31.9,2.4,10.6,1003.2,1011.7,1021.2,995.2,8.9,14.6,4.1,77.6,21.6,26.5,17.3,244.5,22.8,27.7,19.3,207.2
1987,대구광역시,425,1212,5151,18.9,24.6,14.1,129.9,191.5,461.1,67.7,27.6,2.9,14.0,1005.2,1012.3,1022.4,994.4,10.2,16.5,4.9,47.0,22.2,28.0,17.1,158.9,22.8,27.8,18.8,169.1
1987,대전광역시,0,0,0,17.9,23.6,12.8,228.0,189.2,466.4,72.0,27.3,1.7,9.0,1003.2,1012.3,1022.1,995.6,8.4,14.7,2.5,47.3,21.4,26.8,16.3,300.6,22.3,27.6,18.0,299.7
