년,월,합계일조시간(hr),합계전천일사량(MJ/㎡),지역
 2013,05,271.4,626.0,부산광역시
 2013,06,180.0,510.37,부산광역시
 2013,07,217.2,539.38,부산광역시
 2013,08,286.5,615.29,부산광역시
 2013,09,226.3,464.04,부산광역시
 2014,03,215.5,429.81,부산광역시
 2014,04,224.3,519.02,부산광역시
 2014,05,291.2,680.82,부산광역시
 2014,06,162.8,484.4,부산광역시
 2014,07,189.1,513.76,부산광역시
 2014,08,120.9,351.27,부산광역시
 2014,09,213.0,446.87,부산광역시
 2015,03,274.3,518.86,부산광역시
 2015,04,186.1,444.07,부산광역시
 2015,05,277.5,644.85,부산광역시
 2015,06,162.4,462.18,부산광역시
 2015,07,187.6,487.4,부산광역시
 2015,08,218.6,508.25,부산광역시
 2015,09,212.8,442.84,부산광역시
 2016,03,219.6,447.31,부산광역시
 2016,04,214.3,495.68,부산광역시
 2016,05,265.9,611.92,부산광역시
 2016,06,169.5,470.74,부산광역시
 2016,07,236.0,548.38,부산광역시
 2016,08,294.4,609.31,부산광역시
 2016,09,132.1,329.17,부산광역시
 2017,03,172.2,476.77,부산광역시
 2017,04,192.6,553.35,부산광역시
 2017,05,296.2,672.18,부산광역시
 2017,06,269.4,636.71,부산광역시
 2017,07,196.7,553.72,부산광역시
 2017,08,227.2,511.56,부산광역시
 2017,09,213.6,421.36,부산광역시
 2018,03,213.1,325.17,부산광역시
 2018,04,245.8,421.12,부산광역시
 2018,05,216.5,265.31,부산광역시
 2018,06,198.9,563.45,부산광역시
 2018,07,283.4,446.43,부산광역시
 2018,08,260.0,,부산광역시
 2018,09,142.1,202.97,부산광역시
 2019,03,256.0,547.76,부산광역시
 2019,04,210.7,535.46,부산광역시
 2019,05,302.2,749.14,부산광역시
 2019,06,234.9,620.06,부산광역시
 2019,07,192.4,544.77,부산광역시
 2019,08,239.5,594.42,부산광역시
 2019,09,157.7,415.5,부산광역시
 2020,03,243.0,534.87,부산광역시
 2020,04,262.4,649.75,부산광역시
 2020,05,215.1,645.68,부산광역시
 2020,06,231.2,660.4,부산광역시
 2020,07,86.9,393.46,부산광역시
 2020,08,206.0,582.67,부산광역시
 2020,09,159.6,437.36,부산광역시
 2021,03,215.3,515.26,부산광역시
 2021,04,242.8,646.07,부산광역시
 2021,05,190.8,585.96,부산광역시
 2021,06,208.0,630.93,부산광역시
 2021,07,193.8,603.76,부산광역시
 2021,08,154.4,500.44,부산광역시
 2021,09,95.2,367.94,부산광역시
 2022,03,190.1,479.0,부산광역시
 2022,04,233.6,611.32,부산광역시
 2022,05,293.6,796.12,부산광역시
 2022,06,174.2,554.45,부산광역시
 2022,07,193.8,622.11,부산광역시
 2022,08,163.6,524.39,부산광역시
 2022,09,135.1,435.03,부산광역시
 1980,03,204.8,,대구광역시
 1980,04,221.4,,대구광역시
 1980,05,269.5,,대구광역시
 1980,06,193.4,,대구광역시
 1980,07,113.0,,대구광역시
 1980,08,73.0,,대구광역시
 1980,09,211.6,,대구광역시
 1981,03,219.4,404.85,대구광역시
 1981,04,221.1,481.64,대구광역시
 1981,05,239.1,543.25,대구광역시
 1981,06,177.1,440.4,대구광역시
 1981,07,154.4,403.44,대구광역시
 1981,08,179.3,419.72,대구광역시
 1981,09,212.1,392.31,대구광역시
 1982,03,217.1,444.18,대구광역시
 1982,04,216.4,461.41,대구광역시
 1982,05,234.1,570.1,대구광역시
 1982,06,251.2,539.28,대구광역시
 1982,07,163.2,457.38,대구광역시
 1982,08,171.5,443.72,대구광역시
 1982,09,205.9,446.5,대구광역시
 1983,03,213.9,412.04,대구광역시
 1983,04,197.7,439.56,대구광역시
 1983,05,249.9,553.99,대구광역시
 1983,06,240.8,513.18,대구광역시
 1983,07,178.7,427.29,대구광역시
 1983,08,201.2,454.71,대구광역시
 1983,09,149.3,337.48,대구광역시
 1984,03,230.1,386.71,대구광역시
 1984,04,181.9,422.69,대구광역시
 1984,05,272.5,590.96,대구광역시
 1984,06,189.7,485.29,대구광역시
 1984,07,189.7,500.49,대구광역시
 1984,08,199.1,481.46,대구광역시
 1984,09,164.6,388.28,대구광역시
 1985,03,196.0,400.25,대구광역시
 1985,04,235.3,532.4,대구광역시
 1985,05,223.4,545.46,대구광역시
 1985,06,173.5,463.03,대구광역시
 1985,07,197.2,479.05,대구광역시
 1985,08,196.4,452.23,대구광역시
 1985,09,142.0,342.6,대구광역시
 1986,03,208.9,443.03,대구광역시
 1986,04,248.5,551.69,대구광역시
 1986,05,256.4,586.72,대구광역시
 1986,06,167.7,475.65,대구광역시
 1986,07,131.9,424.08,대구광역시
 1986,08,170.9,496.88,대구광역시
 1986,09,171.6,387.92,대구광역시
 1987,03,192.3,392.07,대구광역시
 1987,04,220.2,501.53,대구광역시
 1987,05,236.6,541.99,대구광역시
 1987,06,229.1,563.87,대구광역시
 1987,07,133.4,392.52,대구광역시
 1987,08,127.7,383.34,대구광역시
 1987,09,201.3,452.29,대구광역시
 1988,03,180.6,409.35,대구광역시
 1988,04,233.8,532.95,대구광역시
 1988,05,214.0,547.6,대구광역시
 1988,06,164.6,493.41,대구광역시
 1988,07,121.6,407.33,대구광역시
 1988,08,179.3,430.45,대구광역시
 1988,09,140.0,365.88,대구광역시
 1989,03,195.7,414.65,대구광역시
 1989,04,249.4,531.86,대구광역시
 1989,05,223.8,563.43,대구광역시
 1989,06,194.1,499.37,대구광역시
 1989,07,142.2,425.58,대구광역시
 1989,08,192.6,496.47,대구광역시
 1989,09,119.8,337.27,대구광역시
 1990,03,195.8,386.44,대구광역시
 1990,04,208.7,445.14,대구광역시
 1990,05,225.0,508.29,대구광역시
 1990,06,168.0,442.91,대구광역시
 1990,07,183.6,470.09,대구광역시
 1990,08,242.7,518.43,대구광역시
