년,월,평균상대습도(%),최소상대습도(%),지역
 2010,09,67,15,대구광역시
 2011,03,35,7,대구광역시
 2011,04,46,7,대구광역시
 2011,05,57,10,대구광역시
 2011,06,61,15,대구광역시
 2011,07,71,28,대구광역시
 2011,08,75,32,대구광역시
 2011,09,63,18,대구광역시
 2012,03,50,10,대구광역시
 2012,04,47,8,대구광역시
 2012,05,53,8,대구광역시
 2012,06,64,21,대구광역시
 2012,07,70,28,대구광역시
 2012,08,71,31,대구광역시
 2012,09,69,23,대구광역시
 2013,03,41,4,대구광역시
 2013,04,47,7,대구광역시
 2013,05,53,9,대구광역시
 2013,06,66,22,대구광역시
 2013,07,67,24,대구광역시
 2013,08,69,26,대구광역시
 2013,09,67,23,대구광역시
 2014,03,58,13,대구광역시
 2014,04,57,13,대구광역시
 2014,05,53,12,대구광역시
 2014,06,70,28,대구광역시
 2014,07,74,32,대구광역시
 2014,08,84,42,대구광역시
 2014,09,76,29,대구광역시
 2015,03,49,11,대구광역시
 2015,04,66,14,대구광역시
 2015,05,53,13,대구광역시
 2015,06,66,15,대구광역시
 2015,07,72,28,대구광역시
 2015,08,75,28,대구광역시
 2015,09,77,30,대구광역시
 2016,03,55,14,대구광역시
 2016,04,61,15,대구광역시
 2016,05,59,16,대구광역시
 2016,06,67,19,대구광역시
 2016,07,73,27,대구광역시
 2016,08,65,23,대구광역시
 2016,09,79,32,대구광역시
 2017,03,50,10,대구광역시
