년,월,평균풍속(m/s),최대풍속(m/s),지역
 1987,04,1.8,13.1,경상남도
 1987,05,1.6,8.4,경상남도
 1987,06,1.7,9.3,경상남도
 1987,07,1.9,16.1,경상남도
 1987,08,1.8,14.5,경상남도
 1987,09,1.4,7.5,경상남도
 1988,03,1.9,8.8,경상남도
 1988,04,2.1,11.8,경상남도
 1988,05,1.5,9.0,경상남도
 1988,06,1.6,7.7,경상남도
 1988,07,1.8,7.6,경상남도
 1988,08,1.2,6.9,경상남도
 1988,09,1.3,7.0,경상남도
 1989,03,2.0,9.9,경상남도
 1989,04,1.7,8.3,경상남도
 1989,05,1.8,8.1,경상남도
 1989,06,1.5,8.2,경상남도
 1989,07,1.7,11.1,경상남도
 1989,08,1.8,9.5,경상남도
 1989,09,1.2,8.0,경상남도
 1990,03,1.9,9.2,경상남도
 1990,04,2.1,10.1,경상남도
 1990,05,1.9,9.6,경상남도
 1990,06,1.8,10.0,경상남도
 1990,07,1.8,7.9,경상남도
 1990,08,1.3,7.3,경상남도
 1990,09,1.6,9.2,경상남도
 1991,03,1.7,8.9,경상남도
 1991,04,1.6,10.3,경상남도
 1991,05,1.8,9.9,경상남도
 1991,06,1.4,8.7,경상남도
 1991,07,1.8,10.7,경상남도
 1991,08,1.4,9.6,경상남도
 1991,09,1.1,8.4,경상남도
 1992,03,1.5,7.4,경상남도
 1992,04,2.0,10.3,경상남도
 1992,05,1.9,9.4,경상남도
 1992,06,1.9,8.6,경상남도
 1992,07,2.2,8.3,경상남도
 1992,08,1.7,7.2,경상남도
 1992,09,1.7,9.5,경상남도
 1993,03,1.8,8.0,경상남도
 1993,04,2.3,10.3,경상남도
 1993,05,1.7,7.3,경상남도
 1993,06,1.8,9.6,경상남도
 1993,07,1.7,6.6,경상남도
 1993,08,1.5,9.6,경상남도
 1993,09,1.4,7.4,경상남도
 1994,03,2.0,8.1,경상남도
 1994,04,1.8,8.6,경상남도
 1994,05,1.9,7.8,경상남도
 1994,06,1.6,8.8,경상남도
 1994,07,1.9,7.2,경상남도
 1994,08,2.1,9.3,경상남도
 1994,09,1.7,7.9,경상남도
 1995,03,2.2,9.8,경상남도
 1995,04,2.2,9.1,경상남도
 1995,05,1.9,8.4,경상남도
 1995,06,1.7,7.0,경상남도
 1995,07,2.1,15.5,경상남도
 1995,08,1.9,7.6,경상남도
 1995,09,1.4,6.4,경상남도
 1996,03,2.1,9.1,경상남도
 1996,04,2.1,9.1,경상남도
 1996,05,1.6,7.6,경상남도
 1996,06,1.7,8.2,경상남도
 1996,07,1.8,7.2,경상남도
 1996,08,1.3,6.2,경상남도
 1996,09,1.2,5.6,경상남도
 1997,03,1.8,8.1,경상남도
 1997,04,1.8,7.8,경상남도
 1997,05,2.0,8.7,경상남도
 1997,06,1.7,8.2,경상남도
 1997,07,1.8,8.6,경상남도
 1997,08,1.7,8.9,경상남도
 1997,09,1.8,9.1,경상남도
 1998,03,2.1,10.1,경상남도
 1998,04,1.7,7.7,경상남도
 1998,05,1.6,9.5,경상남도
 1998,06,1.6,7.4,경상남도
 1998,07,1.8,8.0,경상남도
 1998,08,1.3,6.9,경상남도
 1998,09,1.2,7.8,경상남도
 1999,03,1.7,9.2,경상남도
 1999,04,2.0,10.4,경상남도
 1999,05,1.8,10.2,경상남도
 1999,06,1.6,9.4,경상남도
 1999,07,1.9,11.7,경상남도
 1999,08,1.5,15.1,경상남도
 1999,09,1.5,9.6,경상남도
 2000,03,2.1,11.1,경상남도
 2000,04,2.1,11.5,경상남도
 2000,05,1.8,9.0,경상남도
 2000,06,1.6,8.0,경상남도
 2000,07,1.8,10.1,경상남도
 2000,08,1.5,11.7,경상남도
 2000,09,1.7,14.2,경상남도
 2001,03,2.1,8.1,경상남도
 2001,04,1.7,7.0,경상남도
 2001,05,1.7,6.7,경상남도
 2001,06,1.6,7.9,경상남도
 2001,07,1.5,7.1,경상남도
 2001,08,1.3,6.6,경상남도
 2001,09,1.4,6.4,경상남도
 2002,03,1.9,9.5,경상남도
 2002,04,2.0,9.3,경상남도
 2002,05,1.4,6.7,경상남도
 2002,06,1.5,6.8,경상남도
 2002,07,1.6,9.5,경상남도
