년,지역,면적 (ha),10a당 생산량 (kg),생산량 (톤)
2019,대구광역시,52,725,378
2019,대전광역시,6,1556,90
2019,부산광역시,7,787,55
2019,서울특별시,0,0,0
2019,울산광역시,29,68,19
2019,인천광역시,18,478,87
2019,전라남도,557,982,5471
2019,전라북도,2698,1483,40020
2019,제주도,0,60,0
2019,충청남도,1447,3558,24387
2019,충청북도,3929,1333,52376
2020,강원도,1124,731,8215
2020,경기도,353,443,1563
2020,경상남도,3340,1443,48194
2020,경상북도,18705,1486,277942
2020,광주광역시,3,692,20
2020,대구광역시,52,1244,647
2020,대전광역시,11,106,11
2020,부산광역시,7,398,28
2020,서울특별시,0,0,0
2020,울산광역시,27,223,61
2020,인천광역시,21,297,63
2020,전라남도,562,524,2944
2020,전라북도,2449,931,22804
2020,제주도,1,0,0
2020,충청남도,1298,1322,17147
2020,충청북도,3645,1165,42477
2021,강원도,1579,1489,23503
2021,경기도,524,573,3001
2021,경상남도,3774,1789,67524
2021,경상북도,20955,1475,309034
2021,광주광역시,4,694,25
2021,대구광역시,80,946,752
2021,대전광역시,21,777,164
2021,부산광역시,10,440,45
2021,서울특별시,0,663,0
2021,울산광역시,14,1254,170
2021,인천광역시,13,355,46
2021,전라남도,208,787,1635
2021,전라북도,2033,1729,35142
2021,제주도,0,0,0
2021,충청남도,1551,1711,22757
2021,충청북도,3594,1451,52133
